key,de-DE,en-US
server.config.name.system.numericIdAutoIncrementer,Automatische Inkrementierung numerischer IDs,Numeric ID auto incrementer
server.config.parameter.system.numericIdAutoIncrementer.incrementer_object_type.label,Zähler-Objekttyp,Incrementer object type
server.config.parameter.system.numericIdAutoIncrementer.incrementer_id_field_name.label,Name des Feldes 'Zähler-ID',Field name 'Incrementer ID'
server.config.parameter.system.numericIdAutoIncrementer.incrementer_values_field_name.label,Name des Feldes 'Zähler-Werte',Field name 'Incrementer values'
server.config.parameter.system.numericIdAutoIncrementer.incrementers.label,Zähler,Incrementers
server.config.parameter.system.numericIdAutoIncrementer.incrementers.incrementer_id.label,Zähler-Kennung,Incrementer identifier
server.config.parameter.system.numericIdAutoIncrementer.incrementers.object_types.label,Objekttypen,Object types
server.config.parameter.system.numericIdAutoIncrementer.incrementers.field_path.label,Pfad zum übergeordneten Feld (leer wenn oberste Ebene),Path to parent field (empty if root level)
server.config.parameter.system.numericIdAutoIncrementer.incrementers.id_field_name.label,Name des ID-Feldes,ID field name
server.config.parameter.system.numericIdAutoIncrementer.incrementers.base_fields.label,Namen der Basisfelder,Base field names
server.config.parameter.system.numericIdAutoIncrementer.incrementers.pool_ids.label,IDs der berücksichtigten Pools,IDs of pools to consider
